,Unnamed: 0.1,Unnamed: 0,REF_PERSONNE,RAISON_SOCIALE,MATRICULE_FISCALE,VILLE,LIB_GOUVERNORAT,LIB_SECTEUR_ACTIVITE,LIB_ACTIVITE,VILLE_GOUVERNORAT,TYPE_PERSONNE,NOM_PRENOM,DATE_NAISSANCE,CODE_SEXE,SITUATION_FAMILIALE,NUM_PIECE_IDENTITE,LIB_PROFESSION,AGE,contracts_count,branches_set,products_set,total_paid,active_contracts,expired_contracts,reduced_contracts,instance_contracts,terminated_contracts,suspended_contracts,claims_count
12,12,12,16091,SOCIETE_000013,0000013X,-,-,SANTÉ ET ACTION SOCIALE,PRATIQUE MÉDICALE,-,MORALE,-,-,-,-,-,-,,9.0,['AUTOMOBILE'],"['AUTOMOBILE II', 'AUTOMOBILE']",5920.125920.122987.211819.941819.948884.61111703.91816443.72814000.468,2.0,0.0,0.0,0.0,7.0,0.0,13.0
13,13,13,16167,SOCIETE_000014,0000014D,,-,HÔTELS ET RESTAURANTS,RESTAURATION DE TYPE RAPIDE,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],3330.445,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,14,14,16575,SOCIETE_000015,0000015R,RAS JEBEL,-,"AGRICULTURE, CHASSE, SERVICES ANNEXES",CULTURE DE CÉRÉALES ; CULTURES INDUSTRIELLES,RAS JEBEL  -,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
15,15,15,17177,SOCIETE_000016,0000016K,CITE EL GHAZALA,-,INDUSTRIE CHIMIQUE,FABRICATION D AUTRES PRODUITS PHARMACEUTIQUES,CITE EL GHAZALA -,MORALE,-,-,-,-,-,-,,2.0,"['RISQUES DIVERS', 'AUTOMOBILE']","['INDIVIDUELLE ACCIDENTS', 'AUTOMOBILE']",6451.64200,0.0,0.0,0.0,0.0,2.0,0.0,2.0
16,16,16,18312,SOCIETE_000017,0000017J,-,-,CONSTRUCTION,CONSTRUCTION DE BÂTIMENTS DIVERS,-,MORALE,-,-,-,-,-,-,,74.0,"['RISQUES DIVERS', 'AUTOMOBILE']","['AUTOMOBILE II', 'INDIVIDUELLE ACCIDENTS ASSOCIE AU CONTRAT AUTO', 'INDIVIDUELLE ACCIDENTS', 'AUTOMOBILE']",398.07518.58398.07295.6371.6582.28525.57351.6351.6525.57525.57351.6351.6808080107.8460.640.00140.00140.001531.57531.57363.650363.650422.920.08531.5723.637531.5723.637397.9230363.630.001390.8422.57404.0133030358.9230307.4447.475330.84384.013384.0132020385.426.1337.44492.3758.08742.98384.01320415.72320.28492.3758.08742.98362.144704.202695.922362.144276.496355.438368.334449.92449.923124.398,0.0,73.0,0.0,0.0,1.0,0.0,10.0
17,17,17,20296,SOCIETE_000018,0000018Q,-,-,COMMERCE DE DÉTAIL ET RÉPARATION D ARTICLES DOMESTIQUES,AUTRES COMMERCES DE DÉTAIL EN MAGASIN NON SPÉCIALISÉ,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],4502.6,0.0,0.0,0.0,0.0,1.0,0.0,1.0
18,18,18,20452,SOCIETE_000019,0000019Q,SFAX,-,INDUSTRIE CHIMIQUE,FABRICATION D AUTRES PRODUITS CHIMIQUES INORGANIQUES DE BASE,SFAX  -,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],4388.438,0.0,0.0,0.0,0.0,1.0,0.0,1.0
19,19,19,21247,SOCIETE_000020,0000020U,,-,INDUSTRIES ALIMENTAIRES,FABRICATION D ALIMENTS ADAPTÉS À L ENFANT ET DIÉTÉTIQUES,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],303.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0
20,20,20,21619,SOCIETE_000021,0000021P,-,-,TRANSPORTS TERRESTRES,TRANSPORT DE VOYAGEURS PAR TAXIS,-,MORALE,-,-,-,-,-,-,,4.0,['AUTOMOBILE'],['AUTOMOBILE'],1279.51279.516411890.65,0.0,4.0,0.0,0.0,0.0,0.0,0.0
21,21,21,24975,SOCIETE_000022,0000022F,KALAA EL KEBIRA,-,INDUSTRIES ALIMENTAIRES,AUTRES ACTIVITÉS DE TRAVAIL DES GRAINS,KALAA EL KEBIRA -,MORALE,-,-,-,-,-,-,,2.0,['AUTOMOBILE'],['AUTOMOBILE'],3461.6023205.92,0.0,0.0,0.0,0.0,2.0,0.0,1.0
22,22,22,26235,SOCIETE_000023,0000023U,TUNIS RP,-,INDUSTRIES ALIMENTAIRES,FABRICATION DE LAIT LIQUIDE ET DE PRODUITS FRAIS,TUNIS RP -,MORALE,-,-,-,-,-,-,,3.0,"['INCENDIE', 'AUTOMOBILE']","['INCENDIE COMMERCIAL / LEASING', 'AUTOMOBILE']",2266.472828.761437.285,0.0,0.0,0.0,0.0,3.0,0.0,2.0
23,23,23,26461,SOCIETE_000024,0000024T,-,-,INDUSTRIE DE L HABILLEMENT ET DES FOURRURES,FABRICATION D AUTRES VÊTEMENTS ET ACCESSOIRES,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],303.1,0.0,1.0,0.0,0.0,0.0,0.0,2.0
24,24,24,26572,SOCIETE_000025,0000025R,ZAGHOUAN,-,"AGRICULTURE, CHASSE, SERVICES ANNEXES",CULTURE DE CÉRÉALES ; CULTURES INDUSTRIELLES,ZAGHOUAN -,MORALE,-,-,-,-,-,-,,3.0,['AUTOMOBILE'],['AUTOMOBILE'],441.12470.9525401.1,0.0,2.0,0.0,0.0,1.0,0.0,1.0
25,25,25,26680,SOCIETE_000026,0000026X,,-,INDUSTRIES ALIMENTAIRES,AUTRES ACTIVITÉS DE TRAVAIL DES GRAINS,-,MORALE,-,-,-,-,-,-,,11.0,['AUTOMOBILE'],['AUTOMOBILE'],688.64630.76688.64762.98777.86575.571976.112955.15777.86762.98661.6,0.0,11.0,0.0,0.0,0.0,0.0,1.0
26,26,26,27240,SOCIETE_000027,0000027Q,-,-,"AGRICULTURE, CHASSE, SERVICES ANNEXES",HORTICULTURE ; PÉPINIÈRES,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
27,27,27,27295,SOCIETE_000028,0000028J,-,-,"AGRICULTURE, CHASSE, SERVICES ANNEXES","ÉLEVAGE D OVINS, CAPRINS ET ÉQUIDÉS",-,MORALE,-,-,-,-,-,-,,2.0,['AUTOMOBILE'],['AUTOMOBILE'],471.6471.6,0.0,2.0,0.0,0.0,0.0,0.0,3.0
28,28,28,27871,SOCIETE_000029,0000029R,-,-,RECHERCHE ET DÉVELOPPEMENT,RECHERCHE DÉVELOPPEMENT EN SCIENCES HUMAINES ET SOCIALES,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],351.6,0.0,1.0,0.0,0.0,0.0,0.0,1.0
29,29,29,28080,SOCIETE_000030,0000030J,-,-,INDUSTRIE TEXTILE,ENNOBLISSEMENT TEXTILE,-,MORALE,-,-,-,-,-,-,,5.0,['AUTOMOBILE'],['AUTOMOBILE'],351.6351.6351.6363.6332.6,0.0,5.0,0.0,0.0,0.0,0.0,0.0
30,30,30,28088,SOCIETE_000031,0000031Q,-,-,"AGRICULTURE, CHASSE, SERVICES ANNEXES",CHASSE,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],3714.31,0.0,0.0,0.0,0.0,1.0,0.0,1.0
31,31,31,29893,SOCIETE_000032,0000032O,-,-,CONSTRUCTION,CONSTRUCTION DE MAISONS INDIVIDUELLES,-,MORALE,-,-,-,-,-,-,,3.0,['AUTOMOBILE'],['AUTOMOBILE'],391.6391.6294.3,0.0,2.0,0.0,0.0,1.0,0.0,1.0
32,32,32,30029,SOCIETE_000033,0000033M,MONTPLAISR,-,FABRICATION D AUTRES PRODUITS MINÉRAUX NON MÉTALLIQUES,FABRICATION D APPAREILS SANITAIRES EN CÉRAMIQUE,MONTPLAISR -,MORALE,-,-,-,-,-,-,,4.0,"['TRANSPORT', 'INCENDIE', 'AUTOMOBILE']","['MULTIRISQUES PROFESSIONNELLES CENTRALISE', 'AUTOMOBILE', 'POLICE AU VOYAGE(FACULTE MARITIME)']",1674.07227.3041570.210728.712,0.0,1.0,0.0,0.0,3.0,0.0,3.0
33,33,33,30702,SOCIETE_000034,0000034H,-,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,AUTRES COMMERCES DE GROS,-,MORALE,-,-,-,-,-,-,,11.0,['AUTOMOBILE'],"['AUTOMOBILE II', 'AUTOMOBILE']",485.34644.645051.354363.44346.28346.282495.2361.28703.6845030.8172710.685,0.0,7.0,0.0,0.0,4.0,0.0,2.0
34,34,34,41528,SOCIETE_000035,0000035Z,,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,AUTRES COMMERCES DE GROS,-,MORALE,-,-,-,-,-,-,,3.0,['AUTOMOBILE'],['AUTOMOBILE'],387.6413.92448.92,0.0,3.0,0.0,0.0,0.0,0.0,1.0
35,35,35,42419,SOCIETE_000036,0000036Z,-,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,AUTRES COMMERCES DE GROS DE BIENS DE CONSOMMATION,-,MORALE,-,-,-,-,-,-,,2.0,['AUTOMOBILE'],['AUTOMOBILE'],644.64351.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0
36,36,36,42635,SOCIETE_000037,0000037M,-,-,COMMERCE DE DÉTAIL ET RÉPARATION D ARTICLES DOMESTIQUES,AUTRES COMMERCES DE DÉTAIL EN MAGASIN NON SPÉCIALISÉ,-,MORALE,-,-,-,-,-,-,,4.0,['AUTOMOBILE'],['AUTOMOBILE'],431.6449.6442.63040.135,0.0,3.0,0.0,0.0,1.0,0.0,4.0
37,37,37,42948,SOCIETE_000038,0000038B,-,-,"ACTIVITÉS RÉCRÉATIVES, CULTURELLES ET SPORTIVES",AUTRES SPECTACLES,-,MORALE,-,-,-,-,-,-,,5.0,"['RISQUES DIVERS', 'AUTOMOBILE']","['AUTOMOBILE II', 'INDIVIDUELLE ACCIDENTS', 'AUTOMOBILE']",1582.9031582.90329376.37255993.9163200,0.0,0.0,0.0,0.0,5.0,0.0,4.0
38,38,38,43249,SOCIETE_000039,0000039K,-,-,"AGRICULTURE, CHASSE, SERVICES ANNEXES",CULTURE DE CÉRÉALES ; CULTURES INDUSTRIELLES,-,MORALE,-,-,-,-,-,-,,2.0,['AUTOMOBILE'],['AUTOMOBILE II'],11810.09115167.001,0.0,0.0,0.0,0.0,2.0,0.0,6.0
39,39,39,44180,SOCIETE_000040,0000040G,ARIANA,-,"SYLVICULTURE, EXPLOITATION FORESTIÈRE, SERVICES ANNEXES",EXPLOITATION FORESTIÈRE,ARIANA -,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
40,40,40,44350,SOCIETE_000041,0000041Y,-,-,CONSTRUCTION,TRAVAUX DE FINITION N.C.A.,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],781.85,0.0,1.0,0.0,0.0,0.0,0.0,0.0
41,41,41,44849,SOCIETE_000042,0000042C,-,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,AUTRES COMMERCES DE GROS DE BIENS DE CONSOMMATION,-,MORALE,-,-,-,-,-,-,,18.0,"['RISQUES DIVERS', 'INCENDIE', 'AUTOMOBILE']","['AUTOMOBILE II', 'ASSISTANCES EN VOYAGES - PLAN BASIQUE', 'AUTOMOBILE', 'MULTIRISQUES PROFESSIONNELLES CENTRALISE']",503.6387.1483.6478.92362.6478.9220.720.7466.416.516.516.5446.4241398.8857629.01671617.875873.96,0.0,13.0,0.0,0.0,5.0,0.0,16.0
42,42,42,45648,SOCIETE_000043,0000043A,SIDI BOULBABA GABES,-,INTERMÉDIATION FINANCIÈRE,BANQUES,SIDI BOULBABA GABES -,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
43,43,43,46513,SOCIETE_000044,0000044O,-,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,COMMERCE DE GROS DE MATÉRIEL ÉLECTRIQUE ET ÉLECTRONIQUE,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
44,44,44,47143,SOCIETE_000045,0000045M,-,-,INDUSTRIES ALIMENTAIRES,PRODUCTION D AUTRES BOISSONS FERMENTÉES,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],391.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
45,45,45,47607,SOCIETE_000046,0000046Q,-,-,ASSURANCE,ASSURANCE VIE ET CAPITALISATION,-,MORALE,-,-,-,-,-,-,,1.0,['TRANSPORT'],['POLICE AU VOYAGE(FACULTE MARITIME)'],45.828,0.0,1.0,0.0,0.0,0.0,0.0,0.0
46,46,46,33533,SOCIETE_000047,0000047A,,-,"EXTRACTION DE HOUILLE, DE LIGNITE ET DE TOURBES",EXTRACTION ET AGGLOMÉRATION DE LA HOUILLE,-,MORALE,-,-,-,-,-,-,,2.0,['AUTOMOBILE'],['AUTOMOBILE'],7272,0.0,2.0,0.0,0.0,0.0,0.0,1.0
47,47,47,33850,SOCIETE_000048,0000048K,,-,INDUSTRIE DU PAPIER ET DU CARTON,FABRICATION D ARTICLES DE PAPETERIE,-,MORALE,-,-,-,-,-,-,,13.0,['AUTOMOBILE'],['AUTOMOBILE'],686.256636.256636.256636.256636.256636.256636.256636.256636.256679.802679.802679.802679.802,0.0,13.0,0.0,0.0,0.0,0.0,10.0
48,48,48,34123,SOCIETE_000049,0000049S,-,-,"PÊCHE, AQUACULTURE",PÊCHE,-,MORALE,-,-,-,-,-,-,,6.0,['AUTOMOBILE'],['AUTOMOBILE'],4448.884448.88967.34463.81605.95967.3,0.0,6.0,0.0,0.0,0.0,0.0,0.0
49,49,49,35568,SOCIETE_000050,0000050B,TUNIS,-,ADMINISTRATION PUBLIQUE,DÉFENSE,TUNIS -,MORALE,-,-,-,-,-,-,,2.0,['AUTOMOBILE'],['AUTOMOBILE'],7252,0.0,2.0,0.0,0.0,0.0,0.0,0.0
50,50,50,35719,SOCIETE_000051,0000051M,KALAA SEGHIRA,-,INDUSTRIE TEXTILE,FABRICATION DE LINGE DE MAISON ET D ARTICLES D AMEUBLEMENT,KALAA SEGHIRA -,MORALE,-,-,-,-,-,-,,3.0,"['INCENDIE', 'AUTOMOBILE']","['AUTOMOBILE', 'INCENDIE RISQUES SIMPLE CENTRALISE']",332.9122360.9,0.0,3.0,0.0,0.0,0.0,0.0,1.0
51,51,51,55601,SOCIETE_000052,0000052S,TUNIS RP,-,AGENCES ET BUREAUX,AGENCES ET BUREAUX,TUNIS RP -,MORALE,-,-,-,-,-,-,,8.0,"['RISQUES DIVERS', 'AUTOMOBILE']","['AUTOMOBILE II', 'INDIVIDUELLE ACCIDENTS', 'AUTOMOBILE']",1348.24014401116.651048.961519.51395.751395.75,0.0,8.0,0.0,0.0,0.0,0.0,0.0
52,52,52,61328,SOCIETE_000053,0000053R,-,-,ACTIVITES IARD TARIFIABLES,QUINCAILLERIES (COMMERCE),-,MORALE,-,-,-,-,-,-,,13.0,"['RISQUES DIVERS', 'INCENDIE', 'AUTOMOBILE']","['AUTOMOBILE II', 'INDIVIDUELLE ACCIDENTS', 'AUTOMOBILE', 'INCENDIE RISQUES SIMPLE CENTRALISE']",40.108383.630378.4430388.4420388.4420785.624347.378430.9430.9,0.0,12.0,0.0,0.0,1.0,0.0,3.0
53,53,53,62329,SOCIETE_000054,0000054V,-,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,INTERMÉDIAIRE DU COMMERCE EN BOIS ET MATÉRIAUX DE CONSTRUCTION,-,MORALE,-,-,-,-,-,-,,1.0,['RISQUES DIVERS'],['INDIVIDUELLE ACCIDENTS'],9460.917,0.0,0.0,0.0,0.0,1.0,0.0,0.0
54,54,54,62472,SOCIETE_000055,0000055U,-,-,"ACTIVITÉS RÉCRÉATIVES, CULTURELLES ET SPORTIVES",AUTRES ACTIVITÉS SPORTIVES,-,MORALE,-,-,-,-,-,-,,1.0,['RISQUES DIVERS'],['R.C  ETABLISSEMENT  EDUCATION PHYSIQUE ET SPORTIVES'],760,0.0,1.0,0.0,0.0,0.0,0.0,2.0
55,55,55,62563,SOCIETE_000056,0000056G,EL MENZAH 8,-,INDUSTRIES ALIMENTAIRES,INDUSTRIES ALIMENTAIRES N.C.A.,EL MENZAH 8 -,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
56,56,56,62768,SOCIETE_000057,0000057P,-,-,INDUSTRIE TEXTILE,INDUSTRIES TEXTILES N.C.A.,-,MORALE,-,-,-,-,-,-,,1.0,['AUTOMOBILE'],['AUTOMOBILE'],324.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0
57,57,57,63269,SOCIETE_000058,0000058B,-,-,"EXTRACTION DE HOUILLE, DE LIGNITE ET DE TOURBES",EXTRACTION ET AGGLOMÉRATION DE LA HOUILLE,-,MORALE,-,-,-,-,-,-,,1.0,['INCENDIE'],['INCENDIE RISQUES SIMPLE CENTRALISE'],300,0.0,0.0,0.0,0.0,1.0,0.0,0.0
58,58,58,64933,SOCIETE_000059,0000059P,-,-,POSTES ET TÉLÉCOMMUNICATIONS,TÉLÉCOMMUNICATIONS NATIONALES,-,MORALE,-,-,-,-,-,-,,17.0,"['RISQUES DIVERS', 'INCENDIE', 'AUTOMOBILE']","['AUTOMOBILE', 'AUTOMOBILE II', 'ASSISTANCES EN VOYAGES - PLAN BASIQUE', 'MULTIRISQUES PROFESSIONNELLES CENTRALISE']",13.51213.513.53693.55113.513.536743654.220.74006.2241212380816285.7739072.794,0.0,15.0,0.0,0.0,2.0,0.0,5.0
59,59,59,65682,SOCIETE_000060,0000060E,-,-,CONSTRUCTION,TRAVAUX D INSTALLATION ÉLECTRIQUE,-,MORALE,-,-,-,-,-,-,,1.0,['RISQUES DIVERS'],['RESPONSABILITE CIVILE'],1350,0.0,0.0,0.0,0.0,1.0,0.0,0.0
60,60,60,67864,SOCIETE_000061,0000061F,-,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
61,61,61,67868,SOCIETE_000062,0000062Y,-,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,AUTRES INTERMÉDIAIRES SPÉCIALISÉS DU COMMERCE,-,MORALE,-,-,-,-,-,-,,1.0,['RISQUES DIVERS'],['INDIVIDUELLE ACCIDENTS'],36.32,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,62,62,67871,SOCIETE_000063,0000063R,-,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,INTERMÉDIAIRES NON SPÉCIALISÉS DU COMMERCE,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
63,63,63,67873,SOCIETE_000064,0000064F,-,-,COMMERCE DE GROS ET INTERMÉDIAIRES DU COMMERCE,INTERMÉDIAIRES NON SPÉCIALISÉS DU COMMERCE,-,MORALE,-,-,-,-,-,-,,1.0,['RISQUES DIVERS'],['INDIVIDUELLE ACCIDENTS'],36.32,0.0,1.0,0.0,0.0,0.0,0.0,0.0
64,64,64,67877,SOCIETE_000065,0000065W,-,-,ACTIVITES IARD TARIFIABLES,ELECTRICITE (COMMERCE D ARTICLES D ECLAIRAGE),-,MORALE,-,-,-,-,-,-,,1.0,['RISQUES DIVERS'],['INDIVIDUELLE ACCIDENTS'],37.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0
65,65,65,66774,SOCIETE_000066,0000066J,-,-,"ACTIVITÉS RÉCRÉATIVES, CULTURELLES ET SPORTIVES",AUTRES ACTIVITÉS RÉCRÉATIVES,-,MORALE,-,-,-,-,-,-,,0.0,[],[],0,0.0,,,,0.0,0.0,0.0
66,66,66,67458,SOCIETE_000067,0000067P,-,-,SERVICES FOURNIS PRINCIPALEMENT AUX ENTREPRISES,ADMINISTRATION D ENTREPRISES,-,MORALE,-,-,-,-,-,-,,1.0,['INCENDIE'],['MULTIRISQUES PROFESSIONNELLES CENTRALISE'],1158,0.0,0.0,0.0,0.0,1.0,0.0,0.0
67,67,67,67554,SOCIETE_000068,0000068T,-,-,ACTIVITÉS INFORMATIQUES,RÉALISATION DE LOGICIELS,-,MORALE,-,-,-,-,-,-,,1.0,['INCENDIE'],['MULTIRISQUES PROFESSIONNELLES CENTRALISE'],1200,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,68,68,69412,SOCIETE_000069,0000069G,-,-,ACTIVITES IARD TARIFIABLES,HYGIENE (ETABLISSEMENT DE BAIN DOUCHE HAMMAM SAUNA),-,MORALE,-,-,-,-,-,-,,1.0,['RISQUES DIVERS'],['RESPONSABILITE CIVILE'],2250,0.0,0.0,0.0,0.0,1.0,0.0,0.0
69,69,69,70303,SOCIETE_000070,0000070U,-,-,ACTIVITES IARD TARIFIABLES,"IMPRIMERIE, TYPOGRAPHIES ET OFFSET",-,MORALE,-,-,-,-,-,-,,1.0,['INCENDIE'],['MULTIRISQUES PROFESSIONNELLES CENTRALISE'],5040,0.0,0.0,0.0,0.0,1.0,0.0,0.0
70,70,70,71590,SOCIETE_000071,0000071B,EL OUARDIA,-,TRAVAIL DES MÉTAUX,MÉCANIQUE GÉNÉRALE,EL OUARDIA -,MORALE,-,-,-,-,-,-,,3.0,"['RISQUES DIVERS', 'INCENDIE', 'AUTOMOBILE']","['AUTOMOBILE II', 'INDIVIDUELLE ACCIDENTS', 'MULTIRISQUES PROFESSIONNELLES CENTRALISE']",30753509000.452,1.0,0.0,0.0,0.0,2.0,0.0,2.0
